,text,bid_amount,type,pet_name,quality
0,Selling Dm Pixel Demon 600m Each Dm Me,['600m'],dark matter,"['pixel', 'demon']",OKAY
1,Selling Otter 3B Each Dm Me,['3B'],normal,['otter'],OKAY
2,(2)Storm Agony 23b Each,['23b'],normal,"['storm', 'agony']",OKAY
3,BUYING RB PIXEL DEMONS 100M EACH NEED 50!,['100M'],rainbow,"['pixel', 'demon']",OKAY
4,Selling dm pixel demon for 600 million gems each (11 stock),['600 million'],dark matter,"['pixel', 'demon']",OKAY
5,BUYING SOCK CATS 10B,['10B'],normal,"['sock', 'cat']",OKAY
6,BUYING KOALA FOR 1.5B GEMS,['1.5B'],normal,['koala'],OKAY
7,SELLING DM PIXEL WOLF WITH RAINBOW COINS FOR 170M EACH.,['170M'],rainbow,"['pixel', 'wolf']",OKAY
8,BUYING PUNKEY 8B,['8B'],normal,['punkey'],OKAY
9,Buying rb pixel demon for 100m (110 stock) (must sell 10+),['100m'],rainbow,"['pixel', 'demon']",OKAY
10,Rave Crab: 2b Gems (Stock: 1),['2b'],normal,['crab'],OKAY
11,Selling rb pixel demons for 150m each!!,['150m'],rainbow,"['pixel', 'demon']",OKAY
12,"Trading: 1 Storm Agony, 7 b gems",['7 b'],normal,"['storm', 'agony']",OKAY
13,Selling hell chest mimic for 31b gems dm me,['31b'],normal,"['hell', 'chest', 'mimic']",OKAY
14,selling 3 gold santa paws 1b gems (i need gems),['1b'],golden,"['santa', 'paws']",OKAY
15,Selling dm pixel demon 700m each (4 only),['700m'],dark matter,"['pixel', 'demon']",OKAY
16,selling storm agony for 21.5b,['21.5b'],normal,"['storm', 'agony']",OKAY
17,Buying Lucky Cat For 7.5B gems,['7.5B'],normal,"['lucky', 'cat']",OKAY
18,RB PIXEL DEMONS: 200M EACH (stock:64),['200M'],rainbow,"['pixel', 'demon']",OKAY
19,Buying a Blobenstien for 14B Gems!,['14B'],normal,['blobenstein'],OKAY
20,Trading hippomelon for dm pixels or 2.5B buying pixel demons for 600m,"['2.5B', '600m']",dark matter,"['hippomelon', 'pixel', 'demon']",DELETE
21,Trading 25 dm demons for 20B gems,['20B'],dark matter,['demon'],OKAY
22,Buying a Blobenstien for 12B-14B Gems!,"['12B', '14B']",normal,['blobenstein'],DELETE
23,Selling Storm Agony for 21.1B,['21.1B'],normal,"['storm', 'agony']",OKAY
24,trading 14 dark hellish 100m each,['100m'],normal,['hellish'],OKAY
25,DM - Dark Matter Pixel Wolf Price: 140M for one,['140M'],dark matter,"['pixel', 'wolf']",OKAY
26,SELLING PONY 4.75B DM ME FAST,['4.75B'],normal,['pony'],OKAY
27,BUYING STORM AGONY FOR 21B gems (DM ME),['21B'],normal,"['storm', 'agony']",OKAY
28,Selling 4 rb pixel demon 200m each,['200m'],rainbow,"['pixel', 'demon']",OKAY
29,selling 67 rb pixel demons 150m each,['150m'],rainbow,"['pixel', 'demon']",OKAY
30,Nature dragon/gargoyle dragon - 2.5b each,['2.5b'],normal,"['nature', 'dragon', 'gargoyle']",DELETE
31,dm pixel wolf  60m gems per one got 6,['60m'],dark matter,"['pixel', 'wolf']",OKAY
32,sell 1 koala for 2b,['2b'],normal,['koala'],OKAY
33,Selling rb pixel wolf for 40m each -17 stock-,['40m'],rainbow,"['pixel', 'wolf']",OKAY
34,Sea dragon : 4b,['4b'],normal,"['sea', 'dragon']",OKAY
35,Buying DM pixel DEMON (WITH RB COIN V) 2B,['2B'],rainbow,"['pixel', 'demon']",OKAY
36,Buying lava scorpion for 14b,['14b'],normal,"['lava', 'scorpion']",OKAY
37,Buying wicked for 12b,['12b'],normal,['wicked'],OKAY
38,BUYING RB PIXEL 100 MILLION EACH NEED 20,['100 MILLION'],rainbow,['pixel'],OKAY
39,2 GOLDEN PIXEL DEMON FOR 70M EACH,['70M'],golden,"['pixel', 'demon']",OKAY
40,TRADING 3 ORGINAL PIXEL DEMON FOR 30M EACH,['30M'],normal,"['pixel', 'demon']",OKAY
41,Trading pog dragon dm 5b each,['5b'],dark matter,"['pog', 'dragon']",OKAY
42,GARGOYLE - 2.7B,['2.7B'],normal,['gargoyle'],OKAY
43,NATURE DRAGON - 2.7B,['2.7B'],normal,"['nature', 'dragon']",OKAY
44,ICE CREAM CONE - 2.7B,['2.7B'],normal,"['ice', 'cream', 'cone']",OKAY
45,OTTER - 1.7B,['1.7B'],normal,['otter'],OKAY
46,KOALA - 1.7B,['1.7B'],normal,['koala'],OKAY
47,CRAB - 1.7B,['1.7B'],normal,['crab'],OKAY
48,ORCA - 1.3B,['1.3B'],normal,['orca'],OKAY
49,Buying rb pixel demon for 100m (needed 30 stock) (must sell 10+),['100m'],rainbow,"['pixel', 'demon']",OKAY
50,BUYING KEYBOARD CAT FOR 1.5B EACH NEED 2,['1.5B'],normal,"['keyboard', 'cat']",OKAY
51,Selling hippomelon 2.5 bill gems,['2.5 bill'],normal,['hippomelon'],OKAY
52,selling sea dragon for 6b,['6b'],normal,"['sea', 'dragon']",OKAY
53,"(1)Rave Crab 2,5b",['5b'],normal,['crab'],OKAY
54,SOCK CAT 13B NEED MANY,['13B'],normal,"['sock', 'cat']",OKAY
55,SOCK CORGI 13B NEED MANY,['13B'],normal,"['sock', 'corgi']",OKAY
56,BLOBENSTAIN 13B NEED MANY,['13B'],normal,['blobenstein'],OKAY
57,LAVA SCORPION 15B NEED MANY,['15B'],normal,"['lava', 'scorpion']",OKAY
58,nature dragons priced at 3 to 3.5b,['3.5b'],normal,"['nature', 'dragon']",OKAY
59,Trading dark matter hellish axolotl for 450 million gems,['450 million'],normal,"['hellish', 'axolotl']",OKAY
60,BUYING STORM AGONY 16B,['16B'],normal,"['storm', 'agony']",OKAY
61,selling 7 dm pixel demon for 500m each,['500m'],dark matter,"['pixel', 'demon']",OKAY
62,Selling Many Pixel Demon Rb 200M each Dm me.,['200M'],rainbow,"['pixel', 'demon']",OKAY
63,TRADING RAINBOW PHANTOM WOLF (5B),['5B'],rainbow,"['phantom', 'wolf']",OKAY
64,TRADING GOLD WYVERN OF HADES(2B),['2B'],golden,"['wyvern', 'hades']",OKAY
65,TRADING PHANTOM WOLF (1B),['1B'],normal,"['phantom', 'wolf']",OKAY
66,SELLING STORM AGONY FOR 22B GEMS (DM ME QUICK),['22B'],normal,"['storm', 'agony']",OKAY
67,(2)Storm Agony 23b Each,['23b'],normal,"['storm', 'agony']",OKAY
68,(3)Pony 5b Each,['5b'],normal,['pony'],OKAY
69,Selling koala 2b,['2b'],normal,['koala'],OKAY
70,Selling Pixel Demon Dm 1b Each Pixel Demon Rb 200M each,"['1b', '200M']",rainbow,"['pixel', 'demon']",DELETE
71,selling dm dominus alienus for 400m,['400m'],dark matter,"['dominus', 'alienus']",OKAY
72,9 GOLDEN PIXEL WOLFS FOR 14 MIL EACH,['14 MIL'],golden,"['pixel', 'wolf']",OKAY
73,DM PIXEL CAT FOR 11.22 MIL,['11.22 MIL'],dark matter,"['pixel', 'cat']",OKAY
74,trading 14 dark hellish 100m each,['100m'],normal,['hellish'],OKAY
